06N	MAGNA POLONIA SA
08N	OCTAVA SA
11B	11 BIT STUDIOS SA
1AT	ATAL SA
1ATA	ATAL SA - PDA
3RG	3R GAMES SA
AAT	ALTA SA
ABE	AB SA
ABS	ASSECO BUSINESS SOLUTIONS SA
ACG	AC SA
ACP	ASSECO POLAND SA
ACT	ACTION SA
ADV	ADIUVO INVESTMENTS SA
AGO	AGORA SA
AGT	AGROTON GROUP OF COMPANIES
ALE	ALLEGRO.EU SA
ALG	ALL IN! GAMES SA
ALI	ALTUS SA
ALL	AILLERON SA
ALR	ALIOR BANK SA
AMB	GRUPA AMBRA SA
AMC	AMICA SA
AML	ALUMETAL SA
ANR	ANSWEAR.COM SA
APE	APS ENERGIA SA
APL	AMPLI SA
APN	APLISENS SA
APR	AUTO PARTNER SA
APT	GRUPA APATOR SA
ARH	ARCHICOM SA
ARR	ARTERIA SA
ART	ARTIFEX MUNDI SA
ASB	ASBISC ENTERPRISES PLC
ASE	ASSECO SOUTH EASTERN EUROPE SA
ASM	ASM GROUP SA
AST	ASTARTA HOLDING NV
ATC	ARCTIC PAPER SA
ATD	ATENDE SA
ATG	ATM GRUPA SA
ATP	ATLANTA POLAND SA
ATR	ATREM SA
ATS	ATLANTIS SE
ATT	GRUPA AZOTY SA
AWM	AIRWAY MEDIX SA
B24	BRAND24 SA
BAH	BRITISH AUTOMOTIVE HOLDING SA
BBD	BBI DEVELOPMENT SA
BBT	BOOMBIT SA
BCM	BETACOM SA
BCS	BIG CHEESE STUDIO SA
BCX	BIOCELTIX SA
BDX	BUDIMEX SA
BDZ	ELEKTROCIEPŁOWNIA BĘDZIN SA
BFT	BENEFIT SYSTEMS SA
BHW	BANK HANDLOWY W WARSZAWIE SA
BIO	BIOTON SA
BIP	BIO PLANET SA
BMC	BUMECH SA
BMX	BIOMAXIMA SA
BNP	BNP PARIBAS BANK POLSKA SA
BOS	BANK OCHRONY ŚRODOWISKA SA
BOW	BOWIM SA
BRA	BRASTER SA
BRG	BERLING SA
BRS	BORYSZEW SA
BST	BEST SA
CAR	INTER CARS SA
CAV	CAVATINA HOLDING SA
CBF	CYBER_FOLKS SA
CCC	CCC SA
CCE	CLEAN & CARBON ENERGY SA
CDL	CDRL SA
CDR	CD PROJEKT SA
CEZ	CEZ AS
CFI	CFI HOLDING SA
CIE	CIECH SA
CIG	CI GAMES SE
CLC	COLUMBUS ENERGY SA
CLD	CLOUD TECHNOLOGIES SA
CLE	COAL ENERGY SA
CLN	CELON PHARMA SA
CMP	COMP SA
CMR	COMARCH SA
CNT	CENTRUM NOWOCZESNYCH TECHNOLOGII SA
COG	COGNOR HOLDING SA
CPA	CAPITAL PARTNERS SA
CPD	CPD SA
CPG	CAPITAL PARK SA
CPL	COMPERIA.PL SA
CPR	COMPREMUM SA
CPS	CYFROWY POLSAT SA
CRI	CREOTECH INSTRUMENTS SA
CRJ	CREEPY JAR SA
CRM	PZ CORMAY SA
CSR	CASPAR ASSET MANAGEMENT SA
CTS	CITY SERVICE AS
CTX	CAPTOR THERAPEUTICS SA
CZT	CZERWONA TOREBKA SA
DAD	DADELO SA
DAT	DATAWALK SA
DBC	FIRMA OPONIARSKA DĘBICA SA
DBE DB ENERGY SA
DBE1	DBE1
DBEA	DB ENERGY SA - PDA
DCR	DECORA SA
DEK	DEKPOL SA
DEL	DELKO SA
DGA	DGA SA
DIE1	DIE1
DIG	DIGITAL NETWORK SA
DNP	DINO POLSKA SA
DOM	DOM DEVELOPMENT SA
DPL	DROZAPOL-PROFIL SA
DTR	DIGITREE GROUP SA
DVL	DEVELIA SA
EAH	ESOTIQ & HENDERSON SA
EAT	AMREST HOLDINGS SE
ECH	ECHO INVESTMENT SA
EDI	ED INVEST SA
EEX	EKO EXPORT SA
EFK	KORPORACJA GOSPODARCZA EFEKT SA
EHG	EUROHOLD BULGARIA AD
EKP	PRZEDSIĘBIORSTWO ELEKTROMONTAŻOWE ELKOP SA
ELT	ELEKTROTIM SA
ELZ	ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SA
EMC	EMC INSTYTUT MEDYCZNY SA
ENA	ENEA SA
ENE	CENTRUM MEDYCZNE ENEL-MED SA
ENG	ENERGA SA
ENI	ENERGOINSTAL SA
ENP	ENERGOAPARATURA SA
ENT	ENTER AIR SA
ERB	ERBUD SA
ERG	ERG SA
EST	ENEFI ENERGIAHATÉKONYSÁGI NYRT
ETL	EUROTEL SA
